customer_id,recence,frequence,montant,panier_moyen,anciennete,R,F,M,score_rfm,segment,country,declared_preference,age_bracket,life_stage,urban_density
12346,326,12,685.94,57.16166666666667,726,2,5,5,255,À risque,France,Sans parfum,,,
12347,2,8,7740.74,967.5925,404,5,5,5,555,Champions,Iceland,Anti-imperfections,45-54 ans,,Zone rurale
12348,75,5,1561.9199999999998,312.38399999999996,438,4,4,5,445,Champions,Finland,,,Retraité(e),
12349,19,4,5342.41,1335.6025,589,5,4,5,545,Champions,Italy,,,,Zone urbaine dense
12350,310,1,554.75,554.75,310,2,1,4,214,Hibernants,Norway,,,,
12351,375,1,632.28,632.28,375,2,1,4,214,Hibernants,Unspecified,,,Famille avec adolescents,
12352,36,9,2962.7999999999997,329.2,393,5,5,5,555,Champions,Norway,Peau sensible,55 ans et plus,,
12353,204,2,780.8900000000001,390.44500000000005,409,3,2,5,325,Potentiels fidèles,Bahrain,Peau sèche,,,
12354,232,1,2125.84,2125.84,232,3,1,5,315,Clients moyens,Spain,Peau mixte,,Jeune actif en solo,
12355,214,2,1137.54,568.77,568,3,2,5,325,Potentiels fidèles,Bahrain,,25-34 ans,,
12356,23,6,4135.67,689.2783333333333,425,5,4,5,545,Champions,Portugal,Peau mixte,25-34 ans,,
12357,33,3,9718.580000000002,3239.526666666667,389,5,3,5,535,Potentiels fidèles,Switzerland,,,,
12358,2,5,2267.84,453.56800000000004,732,5,4,5,545,Champions,Austria,,,Famille avec adolescents,
12359,58,10,12070.56,1207.056,734,4,5,5,455,Champions,Cyprus,,55 ans et plus,Parent de jeunes enfants,
12360,52,8,6508.52,813.565,656,5,5,5,555,Champions,Austria,Peau sèche,,,
12361,287,4,1199.18,299.795,682,3,4,5,345,Fidèles,Belgium,Peau sèche,,,
12362,3,11,7614.01,692.1827272727273,739,5,5,5,555,Champions,Belgium,Recherche vegan,,Parent de jeunes enfants,
12363,110,2,571.69,285.845,242,4,2,4,424,Nouveaux prometteurs,Unspecified,Anti-imperfections,,Retraité(e),
12364,8,4,2146.69,536.6725,112,5,4,5,545,Champions,Belgium,,,Retraité(e),
12365,291,1,690.21,690.21,291,3,1,5,315,Clients moyens,Cyprus,,,,
12366,634,1,132.02,132.02,634,1,1,2,112,Perdus,Cyprus,Peau mixte,,,
12367,4,1,286.39,286.39,4,5,1,3,513,Nouveaux prometteurs,Denmark,,,,Zone rurale
12368,628,1,481.08,481.08,628,1,1,4,114,Hibernants,Cyprus,,,,Périurbain
12369,413,3,3339.73,1113.2433333333333,642,2,3,5,235,À risque,Austria,,,,
12370,51,7,6398.98,914.14,669,5,5,5,555,Champions,Austria,,,,
12371,45,5,4799.9800000000005,959.9960000000001,645,5,4,5,545,Champions,Switzerland,Anti-imperfections,,,
12372,72,3,1524.46,508.15333333333336,297,4,3,5,435,Potentiels fidèles,Denmark,,,Jeune actif en solo,
12373,311,3,1313.3899999999999,437.7966666666666,674,2,3,5,235,À risque,Austria,Peau sensible,18-24 ans,,Périurbain
12374,25,4,2470.14,617.535,588,5,4,5,545,Champions,Austria,Peau sensible,45-54 ans,,
12375,11,2,547.16,273.58,98,5,2,4,524,Nouveaux prometteurs,Finland,Anti-imperfections,25-34 ans,,
12376,390,2,258.94,129.47,418,2,2,3,223,Hibernants,Switzerland,,55 ans et plus,,
12377,315,4,4799.9,1199.975,589,2,4,5,245,À risque,Switzerland,Anti-âge,,,
12378,130,2,9438.51,4719.255,562,4,2,5,425,Nouveaux prometteurs,Switzerland,,35-44 ans,,Zone urbaine dense
12379,82,4,1950.6799999999998,487.66999999999996,535,4,4,5,445,Champions,Belgium,,,,
12380,22,10,8170.299999999999,817.03,663,5,5,5,555,Champions,Belgium,,,,Zone rurale
12381,5,5,2318.63,463.726,120,5,4,5,545,Champions,Norway,,,,
12383,185,5,3208.64,641.728,352,3,4,5,345,Fidèles,Belgium,,,,
12384,29,2,595.88,297.94,122,5,2,4,524,Nouveaux prometteurs,Switzerland,Anti-âge,45-54 ans,,
12385,379,1,2057.42,2057.42,379,2,1,5,215,Hibernants,Belgium,Anti-âge,,,Périurbain
12386,338,2,440.5,220.25,367,2,2,4,224,Hibernants,Australia,Peau sensible,35-44 ans,,Zone rurale
12387,415,1,241.82,241.82,415,2,1,3,213,Hibernants,Australia,,18-24 ans,Retraité(e),
12388,16,8,4919.79,614.97375,582,5,5,5,555,Champions,Australia,Peau sèche,,,Périurbain
12389,403,3,1333.9,444.6333333333334,656,2,3,5,235,À risque,Australia,,55 ans et plus,,
12390,80,1,774.46,774.46,80,4,1,5,415,Nouveaux prometteurs,Belgium,,,,
12391,22,6,9465.19,1577.5316666666668,663,5,4,5,545,Champions,Cyprus,,,,
12392,591,1,243.1,243.1,591,1,1,3,113,Hibernants,Australia,,,,
12393,72,6,3067.3599999999997,511.22666666666663,428,4,4,5,445,Champions,Australia,,,,
12394,64,2,754.52,377.26,217,4,2,5,425,Nouveaux prometteurs,Belgium,Anti-âge,45-54 ans,,
